isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,text,polarity,subjectivity,len
9780375509179,0375509178,Shakespeare's Kitchen,Renaissance Recipes for the Contemporary Cook,Francine Segan,Cooking,http://books.google.com/books/content?id=ecwAAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A noted food historian brings to life the classic foods of William Shakepeare's world in a series of updated, easy-to-prepare recipes, drawn from sixteenth- and seventeenth-century cookbooks, for a variety of tasty dishes that include Grilled Tuna with Carrots and Sweet Onions, Fish Bisque with Chestnuts and Artichokes, and Red Snapper with Caviar, among others. 35,000 first printing.",2003.0,3.99,288.0,108.0,shakespeares kitchen note food historian bring life classic foods william shakepeares world series update easy prepare recipes draw sixteenth seventeenth century cookbooks variety tasty dish include grill tuna carrots sweet onions fish bisque chestnuts artichokes red snapper caviar among others first print,0.24,0.3966666666666666,307
9780375701368,0375701362,Virginia Woolf,,Hermione Lee,Biography & Autobiography,http://books.google.com/books/content?id=ZW4KVeQM6CoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Traces the life of the British novelist and discusses her major works,1999.0,4.26,893.0,2746.0,virginia woolf trace life british novelist discuss major work,0.03125,0.25,61
9780375701474,0375701478,Night Falls Fast,,Kay Redfield Jamison,,http://books.google.com/books/content?id=NTeODQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A study of the growing epidemic of suicide among young people draws on the author's firsthand battle with severe manic-depression and attempted suicide to reveal the psychological, medical, and biological aspects of self-inflicted death.",2011.0,4.09,432.0,5211.0,night fall fast study grow epidemic suicide among young people draw author firsthand battle severe manic depression attempt suicide reveal psychological medical biological aspects self inflict death,0.07500000000000001,0.275,198
9780375701801,037570180X,Geisha,"The Life, the Voices, the Art",Jodi Cobb;Ian Buruma,Photography,http://books.google.com/books/content?id=GvuAJQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Looks inside the private world of the geisha to capture this unique icon of Japanese traditional culture, following the geisha's training, preparation for a performance, and role in Japanese society",1998.0,3.89,128.0,183.0,geisha look inside private world geisha capture unique icon japanese traditional culture follow geishas train preparation performance role japanese society,0.075,0.425,155
9780375701887,0375701885,The Amen Corner,A Play,James Baldwin,Drama,http://books.google.com/books/content?id=Ce93BmqmQz4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The play centers on the dilemma of the congregation of a Harlem storefront church when they realize Sister Margaret, their leader, is not a saint.",1998.0,3.9,112.0,427.0,amen corner play center dilemma congregation harlem storefront church realize sister margaret leader saint,-0.1,0.1,106
9780375702976,0375702970,Melville,His World and Work,Andrew Delbanco,Biography & Autobiography,http://books.google.com/books/content?id=tGsCgkhkq2QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A compelling portrait of one of America's leading literary luminaries chronicles the life and career of the quintessentially American author Herman Melville, tracing his life and literary career to uncover autobiographical elements in his diverse works, discussing the historical and cultural implications of his writing, and assessing his accomplishments as a writer. Reprint. 17,500 first printing.",2006.0,4.03,448.0,259.0,melville compel portrait one americas lead literary luminaries chronicle life career quintessentially american author herman melville trace life literary career uncover autobiographical elements diverse work discuss historical cultural implications write assess accomplishments writer reprint first print,0.07857142857142858,0.09047619047619047,304
9780375703409,0375703403,Maximum City,Bombay Lost And Found,Suketu Mehta,Social Science,http://books.google.com/books/content?id=PW6PDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A portrait of Bombay, India, and its people chronicles the everday life of the city and its inhabitants, from the criminal underworld of rival Muslim and Hindu gangs to the diverse people who come from the villages in search of a better life.",2005.0,3.92,542.0,8793.0,maximum city portrait bombay india people chronicle everday life city inhabitants criminal underworld rival muslim hindu gang diverse people come villages search better life,0.04999999999999999,0.525,173
9780375703867,0375703861,White Teeth,A Novel,Zadie Smith,FICTION,http://books.google.com/books/content?id=BJtud-Wbt9YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Set in post-war London, this novel of the racial, political, and social upheaval of the last half-century follows two families--the Joneses and the Iqbals, both outsiders from within the former British empire--as they make their way in modern England. A first novel. Reprint. 200,000 first printing.",2000.0,3.76,448.0,96220.0,white teeth set post war london racial political social upheaval last half century follow two families joneses iqbals outsiders within former british empire way modern england first reprint first print,0.056666666666666664,0.13666666666666666,201
9780375704055,0375704051,Awakenings,,Oliver W. Sacks,Medical,http://books.google.com/books/content?id=fUzk9gDqBWwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Describes the author's work with institutionalized patients at Mount Carmel Hospital and the dramatic effects of the drug L-DOPA on twenty patients suffering from encephalitic Parkinsonism,1999.0,4.09,464.0,8601.0,awaken describe author work institutionalize patients mount carmel hospital dramatic effect drug dopa twenty patients suffer encephalitic parkinsonism,-0.4333333333333333,0.6,150
9780375704253,0375704256,Sons of Mississippi,A Story of Race and Its Legacy,Paul Hendrickson,Biography & Autobiography,http://books.google.com/books/content?id=YhXYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A study of the dark legacy of racial intolerance and prejudice profiles the lives and fortunes of seven white Mississippi sheriffs, immortalized in a haunting 1962 LIFE magazine photograph, who took part in the violence that resulted from James Meredith's attempt to integrate the University of Mississippi, and it influence on their own lives and the lives of their children and grandchildren. Reprint. 25,000 first printing.",2004.0,3.81,368.0,167.0,sons mississippi study dark legacy racial intolerance prejudice profile live fortunes seven white mississippi sheriffs immortalize haunt life magazine photograph take part violence result jam merediths attempt integrate university mississippi influence live live children grandchildren reprint first print,0.08484848484848484,0.37222222222222223,305
9780375705243,0375705244,Founding Brothers,The Revolutionary Generation,Joseph J. Ellis,Biography & Autobiography,http://books.google.com/books/content?id=K4rljDiAoWAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The introduction, discussion questions, suggestions for further reading, and author biography that follow are intended to enhance your reading group's discussion of Joseph Ellis's Founding Brothers: The Revolutionary Generation . We hope they will enrich your experience of this Pulitzer Prize-winning study of the intertwined lives of the founders of the American republic--John Adams, Aaron Burr, Benjamin Franklin, Alexander Hamilton, Thomas Jefferson, James Madison, and George Washington.",2002.0,3.92,290.0,36449.0,found brothers introduction discussion question suggestions read author biography follow intend enhance read group discussion joseph elliss found brothers revolutionary generation hope enrich experience pulitzer prize win study intertwine live founder american republic john adams aaron burr benjamin franklin alexander hamilton thomas jefferson jam madison george washington,0.31212121212121213,0.3,375
9780375706363,0375706364,Crucible of War,"The Seven Years' War and the Fate of Empire in British North America, 1754-1766",Fred Anderson,History,http://books.google.com/books/content?id=jyuMqKzZJnUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Demonstrating that the decisive ""Seven Years' War"" changed the balance of power between the British and French in North America, the author argues that this conflict destroyed the delicate balance of power that gave Native people a voice in the affairs of the continent while creating an ""American generation."" Reprint. 25,00 first printing.",2000.0,4.15,912.0,2968.0,crucible war demonstrate decisive seven years war change balance power british french north america author argue conflict destroy delicate balance power give native people voice affairs continent create american generation reprint first print,-0.041666666666666664,0.20555555555555557,242
9780375708213,0375708219,The Working Poor,Invisible In America,David K. Shipler,Social Science,http://books.google.com/books/content?id=3cpvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An intimate portrait of poverty-level working families from a range of ethnic backgrounds in America reveals their legacy of low-paying, dead-end jobs, dysfunctional parenting, and substance abuse and charges the government with failing to provide adequate housing, health care, and education. Reprint. 40,000 first printing.",2005.0,4.03,352.0,4752.0,work poor intimate portrait poverty level work families range ethnic background america reveal legacy low pay dead end job dysfunctional parent substance abuse charge government fail provide adequate house health care education reprint first print,-0.04523809523809524,0.4095238095238095,247
9780375708220,0375708227,Masters of Death,The Ss-Einsatzgruppen and the Invention of the Holocaust,Richard Rhodes,History,http://books.google.com/books/content?id=7wmPDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Pulitzer Prize-winning historian challenges traditional interpretations of the Holocaust in a study that describes the role of the Einsatzgruppen, task forces deployed in Eastern Europe by the SS, whose job was to slaughter Eastern European Jews, the development of less personalized means of murder, and Hitler's eventual plans to annihilate members of other ethnic groups. Reprint.",2003.0,4.05,335.0,1782.0,master death pulitzer prize win historian challenge traditional interpretations holocaust study describe role einsatzgruppen task force deploy eastern europe whose job slaughter eastern european jews development less personalize mean murder hitlers eventual plan annihilate members ethnic group reprint,0.06416666666666668,0.3808333333333333,302
9780375708732,0375708731,American Chronicle,Burr : a Novel,Gore Vidal,Vice-Presidents,,"A fictional memoir illuminating Aaron Burr's life and times, highlighting his political accomplishments and fatal duel with Alexander Hamilton.",2000.0,4.07,430.0,6921.0,american chronicle fictional memoir illuminate aaron burr life highlight political accomplishments fatal duel alexander hamilton,0.0,0.11666666666666665,128
